,Tweet,Sentiment
0,Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,Positive
1,sahi bt h,Positive
2,"Kya bt hai,",Positive
3,Wah je wah,Positive
4,Are wha kaya bat hai,Positive
5,Wah kya baat likhi,Positive
6,Wha Itni sari khubiya,Positive
7,Itni khubiya,Positive
8,Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive
9,Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,Positive
10,Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,Positive
11,jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,Positive
12,kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,Positive
13,afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,Positive
14,Allah insaaf karey,Positive
15,ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,Positive
16,Je Thik Kaha Right,Positive
17,jee ye to he,Positive
18,Maa cheez e ASE ha jis ka koi namil Badl Ni,Positive
19,Wah wah yeh toh hy,Positive
20,jee ye to he,Positive
21,Zenda bad yar,Positive
22,Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,Positive
23,Wha bhut qoob,Positive
24,"right
Or sada time same nahi rehtaaaaaa",Positive
25,Wha wha kaya bat hai,Positive
26,Bohat khoob so true Alhamdulillah,Positive
27,dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Positive
28,Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,Positive
29,Beshaq haq baat hai,Positive
30,Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Positive
31,Right mara jasa masom log,Positive
32,MashaAllah.,Positive
33,Mubarak,Positive
34,Ma hun Hero tara <3,Positive
35,Feel kar speed bot ki <3,Positive
36,"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",Positive
37,Great Aadmi Aadmi,Positive
38,In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,Positive
39,He has one son with her,Positive
40,"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",Positive
41,He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,Positive
42,He entered in Guinness book of World record for the singer of most recorded albums,Positive
43,"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",Positive
44,Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,Positive
45,Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,Positive
46,"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",Positive
47,In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive
48,Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Positive
49,Wohi un ki infaradiyat bana,Positive
50,"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Positive
51,Har taraf ataullah Niazi ki singing ka charcha hone laga,Positive
52,Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive
53,Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Positive
54,"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",Positive
55,Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,Positive
56,"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",Positive
57,Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,Positive
