,Tweet,Label
0,Demands aur slogans etc change ho jain to Aurat March ko pura Pakistan support kry ga,Neutral
1,"Iss pr thokney se thok khrab ho Jaye, ye bazari aurat ki Tra issi qism k alzam lga sacti",Sexist
2, Hira agr aurat khud thek ho to meri behn kisi mard ki jurat nh us ki tarf attract ho.,Neutral
3,"""Aur aurat naray lagaye gi, uske chup rehnay se koi farak nai parna, uske ghar bethnay se koi farak nai parna, yes slogans can be improved, lekin march tab tak hogi jab tak ye rape cases aur harassment, domestic violence na khatam ho, aurat apne lye awaz nai uthaye gi to kon?""",Neutral
4,  lant lant aurat march ko sport kerny waly ko shrm keroo yar,Abusive
5,  lant lant aurat march ko sport kerny waly ko shrm keroo yar,Offensive
6,aj aurat march ki chand raat hai ..  Or amir liaqat ke birthday day 😂🙊  mera tweet meri marz,Neutral
7, Tmhn yaad ho ya na ho clg /university ma lrko ko cgpa nai daity jtni aurat ko daity hein 😃,Neutral
8,  Qanoon naam ki b koi cheez hoti ha madam. Agr us aurat ko problem ha to apny Husband k against FIR karwaye or Court se apni protection ki appeal Kary. Aisy mard ko jab police or court ki tarf se danda jaye ga to all will be fine. This kind of awareness required to all women,Neutral
9,Twitter I read DO TAKEY KE NAHI UNMOLE AURAT THEE IS ITS TRUE HAPPENING OF PAKISTANI MUSLIM SOCIETY but in spites of many islamic teachings why husbands do not wish to change their behaviors with their LIFE PARTNERS?May ALLAH bless them on right patterns AMEEN SUOM AMEEN,Neutral
10,Aurat March Ki Waja Se Geo News Bhukhalat Ka Shikar Hojai..Aur Apni Marzi pr otar aai😂,Neutral
11,Exactly khud humary kartoot jese b hon bs dosro k kartooto pa nazar rakhni ha ese he agr mard or aurat apni apni limits ko smjhy to behtr h,Neutral
12, With due respect sir Kya aurat march se ye chezain khtm hu jain gi...?,Neutral
13, Ye aurat march liberal women ka h jo khud corrupt hain mein is march k way k against hn jo hashtag wo b ghalat h march ho but according rights k hon na k barabari pa ho,Neutral
14, Kiya ap apni sister ko raat ko akely bahir jany dein gy? Akely kahi out of city? Nahi na kiun? Kiun k halat nahi theek. Or ek aurat to ye sub kar nahi sakty obviously ap mard k dar se he roky gy na????,Neutral
15, To in mein se konsa kam aurat ne kiya h??,Neutral
16,    Bhai abi in chkro m parny ka faida nhi q k agr hm is begas m pr gy to aurat march y twajo hat jay gi so plz ye bat hm bad m kry gy or daleel sy kren gy,Neutral
17,Hosh mein aakar baay karo shari qawaneen mera Rab nay banaya hein in par tabsaroun ki gunjaish mahi pagal aurat,Abusive
18,Hosh mein aakar baay karo shari qawaneen mera Rab nay banaya hein in par tabsaroun ki gunjaish mahi pagal aurat,Offensive
19,"""Acid attack rape, domestic voilence, wife k hoty hoy girls k sath relation rakhna, ya time pass k ley girls ka use krna in pa mard chup ho jta h ye sub kon krta h? Mard apny ap ko paak kar ly toh aurat ko in sub ki zarorat nahi #AuratMarch""",Neutral
20,absa g ap b aurat march ko sport krti hn☹️,Neutral
21,Aurat March thek Kar ke ai he manifesto 👍,Neutral
22, Ham laanat send karty hain aisy channels per Orr un k supporters per. KRQ nay bilkul sahee Kia.  Aurat mard ko Sar e aam gali dey tu koi masla ni. Mard jawaaban kuch kahy tu badtameez. Q?,Abusive
23, Ham laanat send karty hain aisy channels per Orr un k supporters per. KRQ nay bilkul sahee Kia.  Aurat mard ko Sar e aam gali dey tu koi masla ni. Mard jawaaban kuch kahy tu badtameez. Q?,Offensive
24, koi ik poster btao jis mn aurat k Killing ya tezab ya rights ki bat ho posterz mn..,Neutral
25, ap aurat march k haq mn hn to malala ko pakistan bhjo or poster de do Lo beth gy thk se...ya khana garam kr dogy bester khod krna.,Neutral
26,Govt should ban aurat march  #StopAuratBarbadiMarch,Neutral
27, lekin ye bat AURAT March walon ko kon samjhae ga,Neutral
28,gashti aurat. Madarchod bhenchod. Gande Haram muni ki pedawar. Maa ki Lori bhenchod. Tere pudhe me Pata nhi kitne Lund dal chuke hn ge. Aur kitna becho gi apna jism ko. Complimentary words from my side.,Sexist
29,""" Tery jesi ko to koi dekhy bhi na, sex to buht door ki bat h harami aurat""",Sexist
30,Mera jism meri mrzi slogan lgany wali khwateen srf socho k u all r muslim nd u live in islamic republic ... speakout for ur rights.. against rape.. early marriages...fr these aurat march is mainly consider.. ur nudity is not ur right and noth the matter to do march,Neutral
31, Wsy to Quran Pak hi kafi hai.aur aik Book hai Misaali Aurat  Written By Maulana Zulfiqar Ahmad Naqshbandi Shab Yeh Writer hain Google sy PDF download krlen,Neutral
32,I am against this aurat march. Sirf is chu**ye insan ko gali nikalnay say roka hay. Mazeed izat afzai kay liye dm main ao aisay chitar maron ga yad rakho gay.,Abusive
33,I am against this aurat march. Sirf is chu**ye insan ko gali nikalnay say roka hay. Mazeed izat afzai kay liye dm main ao aisay chitar maron ga yad rakho gay.,Offensive
34,Chuss marny se baaz na ai lanti aurat  ...😋😋,Abusive
35,Chuss marny se baaz na ai lanti aurat  ...😋😋,Offensive
36,"""Aurat ko Islam nai galat Lagta, ap log lagtay ho Jo ye boltay Hain k agar aurat ka rape hua to wo uski galtie usne sar par dupatta nai Kiya us banday ki nahi wo bechara kesay control karay""",Sexist
37, Aurat ko bhe khush rehnay ka hak hai . My Rules My Life 💐♥️🤩,Neutral
38,   Khabardar Jo Jamil ko beta Bola behya aurat.,Abusive
39,   Khabardar Jo Jamil ko beta Bola behya aurat.,Offensive
40,""" marvi toh aurat hi nahi woh toh mard lagti hai, sirf bilawal ke liye aurat march zaroori hai......""",Sexist
41,Respected Khalil sb! Agr ap “Haya March” ki bjaye ‘Haya o Tahafuz March’ krei to ye kisi 1 frd jins ya tabqay wali soch se bala-tr hoga k isme na sirf Mrd-o-Aurat ko haya k liye pegham hai. Balky Aurton ko ye yakin dihani b krwi jaye k hm Mard unki hifazat ko b apna freeza janei,Neutral
42,   Ragra tum jaisio ko mil sakta bas ik ba haya aurat ko ankh utha k v nai dekhta,Sexist
43, Aapny aurat ka case mazeed kharab kardia ha i am sorry,Neutral
44,Jin ko hizab se nafrat he wo nangi ho k ghoome koi in pe thooke ga bhi nahi  Aurat khoobsurat pure libas me lagti he Mawazna karlen,Sexist
45,Jo Aurat March me shamil hongi wo sab Islamic ni hen Randi hen Soor ka beej hen sab ki sab Bad kirdar daily Naya lene ki shokeen Jim k na bap ka Pata na nasal ka,Sexist
46, Yeah thats she/he was crying in LUMS m aurat march ka sath don gi😂😂😂,Neutral
47,With no offense I believe Mery Zindage Mery Marzy would've been a much better slogan for the Aurat March than Mera Jisam Mery Marzy. It could've changed the dynamics all together.   #WeRejectMeraJismMeriMrzi,Neutral
48,Washington ma International women's day aur pakistan ma aurat azadi march??,Neutral
49, Lanat hy esi soch py jo aurat ko badnaam aur uska taqdus pamaal krny ki nakaam koshish ki ja rhi..,Neutral
50, Marvi sarmad ko aurat mat kaho wo khabees aurat hai. Allah ki lanat ho marvi sarmad pr or usko support krne wale pr,Religious
51,  Matlab K sari galti aurat ki hai? In gadhon ki nahi? Jakar ankhain dho,Untargeted
52, Real aurat March 😍😍,Neutral
53,  Is mulk main Islam aurat k libas se start ho kr isi pe q khatam hta h?,Neutral
54,""" Mujhay uss se bhi acha lagta hai jab aurat kahay """"nahi shukria bhai""""""",Neutral
55,We are supporting #islam and thank you #KhalilUrRahmanQamar for your beautiful comments against #Gashti .  Agar ye #Aurat hoti to na me aesi zuban use krta aur na koi gairatmand #Admi use krta.,Sexist
56,"""Jahan AuratMarch k khilaf buhat sy objections lagy, High court ny Faisla diya k Aurat March k slogans Auratoun k Haqooq k lye hein or Shariyat k mutabiq hein. #AuratMarch2020 #AuratAzadiMarch2020 #AuratMarchLahore #AuratMarchMultan #Feminism #AuratAzadiMarch #toptrending""",Neutral
57, Aj AK aurat bol ri ha,Neutral
58, Aurat ka Ehtram o atmad March . Aj kal k daor main khushion ke rah main rukawat nahi banna chahiay .,Neutral
59, Aurat khiloona nhi h jis se sukoon lena h bs us k sath bht se or chezain jurri hain. Ye aik muhabbat ka rishta h aik ehsaas ka rishta b h aik ayat na focus karain bs agay pechay b dekh lain. ( sada alfaz mai tarjuma b kr dia h 😅 ),Neutral
60,Sharam tum ko magar nahi aate kyo nahi ye aurat March to hai he ap logo ka Geo walo ka kyo k israil se Jo paise milte hai agar ap k baite ya wife nahi Jai ge to AP to apne aaqao k samne sharminda hoge Aur apne baite ko ye poster zaroor daina mere jism mere marzi Hamid mir sahab,Religious
61,#StopAuratBarbadiMarch Aurat ghr k andr hi achi lgti he yu sarkon par nikalna kisi bhi Aurat ki Izzat par daag lga skta he,Sexist
62,NGO walio auntio Kindly bring your maids to Aurat March #AuratMarch,Neutral
63, Waise ye azadi March hai Kya aurat to Azad hai Islam Mai aurat k bohut zyada haq hai aur agar baat os aurat k hai Jo acid victim hai ya zulm ka shikar hai to tik hai laiken ap k aurat March Mai to sirf jism wale baate hai apne mardo see azadi chahte hai ye porn agenda hai,Neutral
64, Shazaib apni baji ko b bejna han Aurat march ma agr itne he zruri hai to,Sexist
65, iisy ijazat dy den aurat  march main jany ki,Neutral
66, Aurat ke rights ALLAH ne Quran mein clearly difine ker diye huwe hain jo wo rights nahi deta wo bhi ghalat aur jo unn se zayada demand kerr wo bhi ghalat hai,Neutral
67,"""  Hamin pta hy k ye  Jo batin or rahe Hy wo aik musalman aurat nahi kr skti, aik certified ghatya or zalil aurat hy or, sb ap sy bhe hm naraz hain k itni ghatya orat ki itni km kutty wali ki""",Religious
68, Or mard k bager aurat ksi ko paida kr k dekhay,Neutral
69, Islam ma aurat ko.izzat ki.nigah se daikha jata hai.  pakistan islami mulk hai.  hum aurat march ko reject kerte hain,Neutral
70, Lalchi Aurat Paisa Dekhti Hai Aur khandani Aurat sirf Sehrat Dekhti Hai,Sexist
71,Koi aurat tweet kry to thousands of thousands Fav.  dety hain mard. R abhi bhi woh kahti hmy apny haqoq chahiy. R ktna haqoq leny hain 😇😉,Neutral
72, Aurat ka apna naraaa hi jisam say start hy ..usko hi ly ker rorahi hy ...mera jisam meri marzii Liberals Aurtoo ka nara hy Babu Qaid Azeem ka nahi,Neutral
73, Tujhe zillat hi milni bs kamini aurat,Abusive
74, Tujhe zillat hi milni bs kamini aurat,Offensive
75,   Jo bi hai uska maqsad to sai hai na haqq ki baat kar raha hai chahe jo bi account use kar raha hai tera to khana kharab ho ghatia aurat,Abusive
76,   Jo bi hai uska maqsad to sai hai na haqq ki baat kar raha hai chahe jo bi account use kar raha hai tera to khana kharab ho ghatia aurat,Offensive
77, Tu kis kis ko galat kahe gi ghatia aurat tera maqsad hi bs behayi phelana hai or isi waja se tujhe sirf zillat hi mile gi,Abusive
78, Tu kis kis ko galat kahe gi ghatia aurat tera maqsad hi bs behayi phelana hai or isi waja se tujhe sirf zillat hi mile gi,Offensive
79,  Bata ab aurat ke naam ke kalakh,Sexist
